IMAGENAME	CH	ACTUAL_SPOTS	THI_HB	THI_BF	THI_HB_SPOTS	THI_BF_SPOTS	THF_HB_SPOTS	THF_BF_SPOTS
simvarmass_CY5L_6b04b8c7	1	1281	198	158	996	1204	1029	1190
simvarmass_CY5L_6c359100	1	859	456	141	157	826	576	819
simvarmass_CY5L_6ce031d4	1	236	35	211	202	212	133	245
simvarmass_CY5L_6dab5181	1	1821	398	104	480	1675	1186	1663
simvarmass_CY5L_707ed63b	1	1472	357	105	438	1396	950	1378
simvarmass_CY5L_71057227	1	89	30	158	63	64	52	64
simvarmass_CY5L_750c4c5e	1	1580	377	208	598	1502	1140	1560
simvarmass_CY5L_75f255b1	1	1073	506	135	125	1018	675	1010
simvarmass_CY5L_76f02db6	1	2279	397	150	558	2071	1494	2067
simvarmass_CY5L_77874ae6	1	653	226	108	428	607	476	605
simvarmass_CY5L_78e70971	1	673	41	241	628	658	475	877
simvarmass_CY5L_7b75f26c	1	111	38	362	91	99	63	3013
simvarmass_CY5L_7b9b6f0f	1	1677	351	125	501	1532	1147	1521
simvarmass_CY5L_7c070caf	1	1055	384	120	393	997	827	994
simvarmass_CY5L_7d1a3c5b	1	1691	350	29	514	16538	1156	5183
simvarmass_CY5L_80c68fc4	1	1541	363	180	415	1414	949	1412
simvarmass_CY5L_80ee7cfe	1	1791	308	184	826	1656	1260	1655
simvarmass_CY5L_82f91e7d	1	6	21	247	2	16	2	579
simvarmass_CY5L_83a9584a	1	1735	333	153	588	1614	1210	1608
simvarmass_CY5L_83bd0ca8	1	503	30	151	456	470	349	467
simvarmass_CY5L_8410b31a	1	462	37	340	431	451	363	4920
simvarmass_CY5L_897bba36	1	2228	125	271	1821	2048	1526	3089
simvarmass_CY5L_8bf7b484	1	1219	390	114	527	1143	995	1137
simvarmass_CY5L_8d5d518f	1	1978	512	116	360	1822	1510	1812
simvarmass_CY5L_8e259b70	1	700	29	423	654	685	459	6905
simvarmass_CY5L_8f539d95	1	55	36	153	35	38	28	36
simvarmass_CY5L_8fe797af	1	1252	53	368	1153	1220	989	6022
simvarmass_CY5L_903c8326	1	1730	566	179	131	1609	1042	1597
simvarmass_CY5L_9094ab2c	1	2361	342	133	674	2124	1559	2107
simvarmass_CY5L_917b35e1	1	1077	33	123	980	1004	714	1000
simvarmass_CY5L_96198ad4	1	525	30	229	490	512	431	669
simvarmass_CY5L_96c4c192	1	565	73	214	513	547	384	585
simvarmass_CY5L_98343be9	1	2023	619	124	118	1875	1441	1851
simvarmass_CY5L_9877a8d3	1	9	20	227	4	33	2	243
simvarmass_CY5L_99a8eb4f	1	2219	306	90	1095	2008	1618	1996
simvarmass_CY5L_9a373e9b	1	357	27	78	317	330	261	329
simvarmass_CY5L_9ca8bccd	1	351	32	366	333	354	211	3585
simvarmass_CY5L_9d179fa5	1	1097	357	197	255	1016	654	1031
simvarmass_CY5L_9d99e333	1	965	182	123	795	903	788	893
simvarmass_CY5L_9f809585	1	2044	375	106	685	1894	1509	1884
simvarmass_CY5L_9f9145d3	1	2537	391	91	614	2269	1777	2262
simvarmass_CY5L_9fd2384a	1	1710	327	292	472	1580	940	3047
simvarmass_CY5L_a1312b66	1	362	25	224	337	367	247	507
simvarmass_CY5L_a430d118	1	434	30	157	392	413	316	405
simvarmass_CY5L_a4d6d0bb	1	705	34	178	655	689	468	686
simvarmass_CY5L_a6e00e93	1	2531	153	136	2039	2297	1883	2290
simvarmass_CY5L_a8047020	1	699	32	497	662	687	442	8971
simvarmass_CY5L_a96389e6	1	346	23	109	320	339	260	336
simvarmass_CY5L_aa2d1ead	1	1099	33	182	988	1041	664	1037
simvarmass_CY5L_ab31cf1e	1	326	20	101	295	308	267	304
simvarmass_CY5L_ab88b7cd	1	1723	323	159	640	1591	1159	1581
simvarmass_CY5L_abd7139e	1	2059	337	204	662	1894	1369	1960
simvarmass_CY5L_ad5b63fc	1	101	28	172	78	80	60	80
simvarmass_CY5L_addda019	1	741	244	167	378	712	480	710
simvarmass_CY5L_ae0bc257	1	895	397	114	141	842	474	837
simvarmass_CY5L_b001e10f	1	2078	434	176	482	1929	1584	1915
simvarmass_CY5L_b037e931	1	744	28	194	692	724	566	730
simvarmass_CY5L_b156f56a	1	2067	331	128	977	1898	1671	1887
simvarmass_CY5L_b1a1efeb	1	2364	352	246	915	2184	1748	2733
simvarmass_CY5L_b29fff8a	1	410	21	135	365	386	312	385
simvarmass_CY5L_b39363cd	1	2046	369	141	572	1882	1480	1871
simvarmass_CY5L_b4603be1	1	207	23	316	198	212	167	2394
simvarmass_CY5L_b4d3b176	1	1872	476	324	267	1775	1154	4847
simvarmass_CY5L_b5fe215d	1	2382	262	214	1185	2174	1667	2264
simvarmass_CY5L_b6e4ac56	1	1466	287	232	595	1383	937	1626
simvarmass_CY5L_b7717876	1	91	22	121	65	67	44	67
simvarmass_CY5L_b888945d	1	1125	42	222	1032	1076	782	1194
simvarmass_CY5L_b901537e	1	614	28	337	579	613	427	3647
simvarmass_CY5L_b95234dd	1	981	37	468	909	970	606	9204
simvarmass_CY5L_b9ca4f72	1	1441	458	225	257	1349	1023	1498
simvarmass_CY5L_bae90715	1	805	34	216	711	748	564	839
simvarmass_CY5L_bf680c47	1	584	23	182	533	564	354	564
simvarmass_CY5L_bfdb01fb	1	2142	453	79	422	1979	1607	1958
simvarmass_CY5L_c008c7b4	1	277	20	88	234	247	175	247
simvarmass_CY5L_c10f2b46	1	166	32	200	134	138	88	148
simvarmass_CY5L_c17e08be	1	47	24	177	23	31	19	28
